It Bench1 Bench2
0 1.0652665 1.0664855
1 3.7676005 3.3891190
2 7.5467160 6.0844680
3 11.9074075 9.0155930
4 17.9174005 12.4189060
5 25.2249045 16.1191140
6 33.6133300 20.0907610
7 42.1927805 24.2323295
8 51.8255330 28.5605240
9 63.4181085 33.2958080
10 76.6055745 38.3644195
11 90.1674455 43.5466390
12 103.7814910 48.6118700
13 119.0374750 54.0172565
14 135.9371010 59.8081530
15 153.7453335 65.7431810
16 173.1469680 71.8995935
17 193.2815260 78.0874075
18 214.6134175 84.4391155
19 235.8061540 90.9341075
20 259.1213355 97.5963145
21 283.4718710 104.4181555
22 308.9040485 111.4188700
23 335.5496710 118.6026715
24 363.0422795 125.9985665
25 391.5816120 133.2688410
26 421.6335195 141.0140100
27 452.4110645 148.7353115
28 483.8616250 156.6276130
29 516.2288750 164.4770625
30 550.6569890 172.7566810
31 585.9345710 181.2083955
32 622.2532345 189.5823285
33 659.3370350 198.1639695
34 697.6406310 206.7062845
35 737.6218360 215.5672290
36 779.1962460 224.5426625
37 820.1932370 233.5537585
38 863.7294990 242.7086970
39 906.6075200 251.8083830
40 951.0207840 260.9431595
41 995.0022695 270.0486350
42 1040.0498050 279.2813550
43 1086.1161050 288.6713220
44 1133.6775800 298.1797700
45 1183.1850875 307.9516045
46 1234.0128040 317.5551010
47 1285.8444365 327.5857885
48 1336.8246705 337.3969060
49 1390.9873570 347.4242290
50 1445.1388030 357.4938570
51 1500.6469655 367.8394815
52 1554.9392000 378.0851960
53 1612.2820670 388.5814275
54 1670.6220145 398.9765575
55 1729.9844780 409.5747640
56 1791.3490805 420.3635745
57 1852.9231430 431.2889495
58 1914.5125545 442.0671785
59 1977.4050015 452.8986555
60 2042.7083080 463.8839460
61 2108.9992450 475.2746165
62 2177.6391390 486.6911255
63 2245.6858530 497.8774920
64 2315.3190025 509.4937435
65 2385.1640930 521.1037300
66 2456.1173960 532.7436830
67 2528.3610795 544.3207145
68 2602.0349775 555.9587660
69 2676.0345595 567.8849875
70 2750.8020515 579.8905575
71 2827.4172685 592.0650795
72 2905.1252215 604.2950235
73 2983.8760765 616.7382555
74 3063.4779160 629.1345685
75 3142.3956545 641.3944285
76 3223.3810255 653.8891870
77 3305.6672515 666.4935285
78 3390.0206880 679.1669720
79 3474.5886115 692.0212395
80 3561.9402290 704.8976755
81 3647.5464790 717.7833230
82 3735.1679015 730.7019400
83 3824.3644970 743.7898110
84 3915.7939145 756.9619040
85 4006.0251610 769.9202755
86 4099.9742620 783.3339990
87 4193.5945010 796.7056515
88 4287.2593330 810.2227005
89 4384.0436420 823.6427930
90 4478.5253935 837.0236230
91 4575.2569395 850.8237135
92 4673.7272560 864.5603940
93 4773.1892370 878.0237085
94 4874.2320495 891.9128940
95 4978.2230670 905.8402700
96 5081.4517000 919.9840265
97 5185.1986655 934.2835770
98 5290.3914690 948.7067205
99 5394.8099255 962.9069830
100 5501.3091045 977.2422815
101 5608.3333800 991.4992885
102 5717.3289415 1005.9102355
103 5828.7738560 1020.6672475
104 5939.9321590 1035.2521135
105 6052.3640405 1050.0028605
106 6163.6480445 1064.5448830
107 6279.4107205 1079.2442310
108 6394.3404120 1094.1861380
109 6510.1372050 1109.1086115
110 6626.4219030 1123.8677650
111 6746.5836195 1139.2806580
112 6867.0796655 1154.6618375
113 6990.3511045 1169.9520320
114 7111.8323665 1185.2576260
115 7233.5497995 1200.4840715
116 7358.6272195 1215.9062280
117 7483.0372015 1231.4098385
118 7608.1083675 1246.9117710
119 7735.2999090 1262.3286095
120 7864.1472205 1277.9161055
121 7992.6153025 1293.6537715
122 8120.0322630 1309.2773220
123 8251.9715200 1325.3012320
124 8384.2436180 1341.4014150
125 8517.3449510 1357.5594465
126 8652.7904345 1373.8769730
127 8789.6421080 1390.0219115
128 8925.3768595 1405.9464695
129 9062.9237145 1422.3127110
130 9202.1577380 1438.5726450
131 9339.5847010 1454.8326000
132 9479.5717805 1471.1268710
133 9620.5829735 1487.6582755
134 9761.9740810 1503.9287235
135 9908.4466420 1520.5248795
136 10054.7409810 1537.2447320
137 10199.3332425 1553.7203465
138 10346.9379475 1570.3721475
139 10494.3045935 1587.0202065
140 10644.3631950 1603.7038795
141 10794.7475190 1620.8855165
142 10945.8632905 1637.8348305
143 11097.9011265 1654.8646615
144 11249.9973330 1671.7729825
145 11404.1645375 1689.0005235
146 11560.2214530 1706.1947285
147 11716.0372125 1723.5632955
148 11872.9649235 1740.8401650
149 12030.0357910 1758.0727185
150 12190.8463550 1775.3362245
151 12351.5132450 1792.8640165
152 12512.4948750 1810.4609765
153 12674.1299480 1827.8827755
154 12837.8061635 1845.5109390
155 13002.4258105 1863.4363760
156 13169.1749885 1881.5704840
157 13334.6032655 1899.0618275
158 13503.7226915 1917.0966715
159 13669.6698035 1935.0116495
160 13839.3304525 1953.0936635
161 14011.1842000 1971.1650415
162 14181.7690520 1989.2507595
163 14352.0097335 2007.2518985
164 14524.6325945 2025.6303720
165 14701.4991010 2044.0838565
166 14877.6648845 2062.7383585
167 15057.3475065 2081.2886750
168 15234.8925705 2099.5356470
169 15414.7853515 2117.9572940
170 15595.0275590 2136.3300395
171 15777.8086290 2155.0392400
172 15961.9369605 2173.8363005
173 16146.0054320 2192.5581355
174 16335.1725830 2211.3512890
175 16518.4551660 2229.9001945
176 16708.6024375 2248.9906700
177 16896.6697445 2267.8451800
178 17086.4754025 2287.1214675
179 17275.9164565 2306.1240590
180 17467.0287735 2325.5084880
181 17658.9064705 2344.4320075
182 17852.0545645 2363.4881970
183 18047.8740390 2382.8799915
184 18245.9171605 2402.6439560
185 18442.8535820 2422.1582630
186 18643.7995975 2441.4971175
187 18845.4917545 2461.2875475
188 19045.3319385 2480.9975510
189 19248.9286360 2501.1341765
190 19456.0807735 2521.4339005
191 19661.8991145 2541.3817740
192 19873.5452055 2561.3546320
193 20083.9763290 2581.8229395
194 20293.4929205 2601.9724080
195 20504.4994680 2622.0880375
196 20716.0989090 2642.4182845
197 20929.5383335 2662.8549435
198 21143.6094635 2683.2456345
199 21358.9459825 2703.7016950
200 21575.2151460 2724.4917145
201 21792.7516260 2745.1357725
202 22012.8183210 2766.0795965
203 22232.2439580 2786.7978350
204 22453.5316195 2807.4296160
205 22678.1571715 2828.3692110
206 22902.4919290 2849.0559825
207 23128.1499560 2870.5059495
208 23352.1831205 2891.6382770
209 23581.1541120 2913.0340575
210 23810.0557290 2934.2915110
211 24039.6900275 2955.2611900
212 24267.7684540 2976.5766070
213 24499.8039960 2997.8511710
214 24732.9627890 3019.1491960
215 24966.9360830 3040.4114005
216 25202.3924605 3061.9177165
217 25436.5797060 3082.9283905
218 25673.8986800 3104.2601380
219 25910.0023345 3125.9960935
220 26150.9714455 3148.2058565
221 26392.5630945 3169.7297980
222 26633.9630880 3191.4389500
223 26874.3318010 3213.2920525
224 27116.1058880 3235.0937955
225 27359.5666745 3256.9594590
226 27604.1273340 3278.7032605
227 27848.9282615 3300.3297405
228 28098.9083470 3322.2739265
229 28348.5686175 3344.4025840
230 28598.5607210 3366.4437115
