It Bench1 Bench2
0 0.038890 0.039846
1 0.048047 0.040124
2 0.056205 0.040586
3 0.063318 0.039602
4 0.071942 0.040245
5 0.073633 0.041081
6 0.081202 0.040630
7 0.084656 0.040865
8 0.090441 0.041198
9 0.095115 0.041361
10 0.100830 0.041163
11 0.106126 0.041032
12 0.107977 0.041076
13 0.110156 0.041149
14 0.116259 0.041213
15 0.118621 0.041685
16 0.123906 0.041177
17 0.125044 0.041556
18 0.129649 0.041669
19 0.134418 0.041807
20 0.138869 0.041753
21 0.145472 0.042383
22 0.146024 0.041687
23 0.151332 0.042386
24 0.155402 0.042604
25 0.155429 0.042828
26 0.160986 0.042520
27 0.162431 0.042813
28 0.164068 0.042321
29 0.165768 0.042360
30 0.173190 0.042491
31 0.172409 0.042684
32 0.174048 0.042731
33 0.180474 0.042974
34 0.182399 0.042821
35 0.186380 0.043051
36 0.188510 0.043620
37 0.192108 0.043875
38 0.191695 0.043899
39 0.198329 0.043011
40 0.199316 0.043535
41 0.198991 0.043382
42 0.208038 0.042987
43 0.210425 0.043613
44 0.211372 0.043281
45 0.217668 0.043265
46 0.217729 0.043614
47 0.214364 0.043710
48 0.216915 0.043592
49 0.225774 0.043840
50 0.225764 0.043291
51 0.225121 0.043229
52 0.228518 0.043796
53 0.228103 0.044157
54 0.230795 0.043450
55 0.235125 0.044053
56 0.233429 0.043855
57 0.240301 0.043612
58 0.240689 0.043406
59 0.246083 0.043850
60 0.244039 0.043613
61 0.248052 0.043220
62 0.254186 0.043733
63 0.251580 0.043477
64 0.250979 0.043972
65 0.261440 0.043824
66 0.260951 0.043573
67 0.262792 0.043513
68 0.258892 0.044040
69 0.265247 0.044427
70 0.260185 0.043920
71 0.260006 0.043809
72 0.273252 0.043927
73 0.265058 0.044552
74 0.276916 0.043951
75 0.268272 0.043895
76 0.276992 0.044162
77 0.276628 0.044892
78 0.276183 0.044222
79 0.283059 0.044203
80 0.282832 0.043944
81 0.285888 0.044064
82 0.288410 0.044165
83 0.285458 0.044512
84 0.295652 0.043983
85 0.296802 0.044223
86 0.300993 0.044381
87 0.299325 0.044242
88 0.293098 0.044803
89 0.292998 0.044444
90 0.304897 0.044750
91 0.302360 0.044299
92 0.303954 0.044326
93 0.297157 0.044280
94 0.317017 0.044189
95 0.313971 0.043608
96 0.317286 0.044624
97 0.319555 0.044364
98 0.311165 0.044305
99 0.314604 0.043907
100 0.316350 0.044707
101 0.324623 0.044488
102 0.324844 0.044651
103 0.322169 0.044550
104 0.323255 0.044122
105 0.322984 0.044799
106 0.321261 0.044287
107 0.328616 0.044523
108 0.334505 0.044722
109 0.331606 0.044345
110 0.338027 0.044001
111 0.338077 0.044850
112 0.335946 0.045095
113 0.338418 0.043951
114 0.348257 0.044735
115 0.343046 0.044536
116 0.346741 0.044251
117 0.339841 0.044171
118 0.349475 0.044320
119 0.351012 0.045721
120 0.349429 0.044612
121 0.351214 0.045078
122 0.352311 0.044193
123 0.356319 0.044316
124 0.357194 0.045031
125 0.352935 0.044669
126 0.358007 0.044587
127 0.357942 0.043965
128 0.361411 0.044213
129 0.363052 0.044242
130 0.365179 0.044631
131 0.364704 0.044668
132 0.368739 0.044373
133 0.365830 0.044549
134 0.367218 0.044780
135 0.370962 0.044485
136 0.365562 0.045033
137 0.373754 0.044581
138 0.373904 0.044430
139 0.379102 0.044759
140 0.386576 0.044591
141 0.373474 0.044275
142 0.388961 0.044757
143 0.382970 0.044354
144 0.382010 0.044870
145 0.389879 0.045469
146 0.393145 0.044884
147 0.392469 0.044435
148 0.384249 0.044985
149 0.396178 0.045208
150 0.391390 0.044238
151 0.395834 0.044328
152 0.391879 0.044500
153 0.394855 0.044360
154 0.388800 0.044426
155 0.405148 0.044968
156 0.393882 0.044442
157 0.401160 0.044808
158 0.398737 0.044914
159 0.403524 0.043965
160 0.403687 0.044610
161 0.396493 0.044027
162 0.414597 0.044610
163 0.409834 0.044185
164 0.407704 0.044132
165 0.408360 0.044290
166 0.405473 0.044414
167 0.412949 0.044361
168 0.418562 0.044137
169 0.410265 0.044066
170 0.408737 0.044061
171 0.420493 0.044604
172 0.417012 0.044720
173 0.418955 0.044478
174 0.416803 0.044221
175 0.418295 0.044563
176 0.419531 0.044199
177 0.415451 0.044583
178 0.423575 0.044340
179 0.434648 0.044573
180 0.421383 0.044455
181 0.424397 0.044579
182 0.420234 0.043867
183 0.424046 0.043905
184 0.427782 0.044578
185 0.424322 0.044523
186 0.434025 0.044642
187 0.438237 0.045019
188 0.440966 0.044223
189 0.425566 0.044227
190 0.429150 0.044198
191 0.434053 0.044588
192 0.436903 0.044568
193 0.435523 0.043840
194 0.446443 0.043959
195 0.441470 0.043842
196 0.436448 0.044175
197 0.441181 0.044171
198 0.431269 0.043736
199 0.450662 0.044263
200 0.444893 0.044029
201 0.448865 0.044612
202 0.447266 0.044271
203 0.448597 0.044046
204 0.449506 0.044760
205 0.450809 0.043901
206 0.448941 0.043946
207 0.456992 0.043693
208 0.447000 0.044243
209 0.458697 0.043848
210 0.459682 0.044171
211 0.459581 0.043713
212 0.463234 0.043493
213 0.462523 0.044288
214 0.449501 0.044571
215 0.454878 0.044011
216 0.453519 0.043742
217 0.461524 0.043660
218 0.462924 0.044364
219 0.451848 0.044715
220 0.459790 0.044340
221 0.475678 0.043578
222 0.460552 0.043600
223 0.470279 0.043881
224 0.468952 0.044374
225 0.463901 0.044041
226 0.465662 0.043508
227 0.476618 0.044069
228 0.480071 0.044010
229 0.472494 0.043710
230 0.481497 0.044116
231 0.475227 0.043483
232 0.478981 0.043864
233 0.472861 0.043821
234 0.482169 0.043745
235 0.462037 0.043752
236 0.499683 0.044033
237 0.472886 0.043940
238 0.487019 0.043816
239 0.484636 0.043870
240 0.487246 0.044141
241 0.479803 0.044241
242 0.480787 0.043358
243 0.486529 0.043952
244 0.495062 0.043704
245 0.490034 0.043505
246 0.491233 0.043826
247 0.487349 0.044396
248 0.488417 0.043733
