It Bench1 Bench2
1 245205.046875 22811.359375
2 247292.078125 30218.029297
3 247493.218750 38129.898438
4 253194.421875 43864.359375
5 248652.234375 49047.031250
6 251303.562500 53423.550781
7 252218.859375 57329.371094
8 247354.343750 61757.949219
9 250832.046875 65633.882812
10 245544.796875 69561.898438
11 247439.718750 71403.039062
12 252820.000000 76367.781250
13 245955.375000 80216.031250
14 249092.875000 82351.273438
15 243124.234375 83887.687500
16 242716.703125 88285.179688
17 249464.000000 91893.617188
18 247798.843750 93580.906250
19 244941.093750 95219.351562
20 246911.687500 96982.648438
21 253566.046875 102027.562500
22 248643.781250 102406.859375
23 245982.921875 104067.101562
24 246143.687500 107792.179688
25 245554.875000 107339.093750
26 246626.687500 109875.007812
27 246663.281250 110977.593750
28 247879.593750 116428.539062
29 250719.640625 118935.976562
30 249175.312500 121322.406250
31 248373.140625 121940.242188
32 247245.406250 122766.007812
33 247335.687500 125861.632812
34 250470.281250 128690.570312
35 249848.593750 131403.812500
36 251326.437500 127727.242188
37 246827.281250 133744.421875
38 249148.234375 134515.812500
39 251261.406250 136217.812500
40 248344.437500 138569.875000
41 253991.640625 141057.937500
42 248505.875000 144778.218750
43 249351.453125 144638.656250
44 246740.593750 145360.843750
45 247071.203125 149991.921875
46 245233.843750 150165.312500
47 249632.281250 149568.593750
48 251919.515625 151567.265625
49 249910.953125 155458.015625
50 251187.703125 155399.234375
51 246098.562500 154450.734375
52 246980.015625 159109.375000
53 250926.125000 158645.765625
54 249280.125000 161459.515625
55 245880.593750 162122.234375
56 249583.265625 164098.734375
57 250269.921875 163089.906250
58 248675.156250 165781.937500
59 249037.359375 166109.546875
60 252819.593750 172943.515625
61 243666.046875 169322.156250
62 251544.312500 172862.437500
63 246718.640625 172094.953125
64 244402.312500 173834.656250
65 248114.515625 173680.656250
66 249769.203125 178670.406250
67 248368.515625 179106.140625
68 243949.953125 177899.484375
69 248578.765625 180860.203125
70 245857.984375 182598.156250
71 246373.796875 186625.296875
72 247647.562500 186062.765625
73 246167.593750 185741.859375
74 252264.703125 191323.593750
75 251866.796875 190414.406250
76 254382.921875 191049.625000
77 247053.640625 188388.562500
78 244509.203125 192326.484375
79 247694.562500 194543.640625
80 249233.062500 199678.765625
81 242181.343750 193319.281250
82 241180.593750 196327.046875
83 247484.265625 198566.687500
84 245677.281250 199534.515625
85 250323.125000 198697.937500
86 248010.203125 201418.765625
87 246685.453125 201144.843750
88 244313.406250 200320.437500
89 250035.203125 207250.906250
90 252292.687500 208968.843750
91 245002.078125 210238.921875
92 249047.078125 210423.000000
93 242125.000000 211663.484375
94 239905.640625 208764.265625
95 246173.687500 211285.359375
96 240690.078125 211921.765625
97 245072.515625 211391.859375
98 245850.281250 212496.421875
99 247007.953125 215755.718750
100 247477.796875 218205.984375
101 247393.812500 219499.203125
102 246575.500000 217225.156250
103 250826.718750 226909.281250
104 245696.859375 222484.281250
105 244500.000000 221884.234375
106 253181.687500 225673.953125
107 247611.687500 224820.421875
108 247799.421875 228274.437500
109 251414.437500 227049.484375
110 245738.203125 228424.375000
111 246331.515625 228133.125000
112 245446.218750 228259.953125
113 249979.718750 230840.453125
114 246098.718750 231996.515625
115 247901.812500 232592.875000
116 243596.796875 235195.562500
117 245483.046875 235363.953125
118 249181.640625 237407.000000
119 241776.156250 235309.046875
120 247308.703125 232970.593750
121 248749.359375 242320.078125
122 247584.921875 245472.406250
123 253015.484375 244076.843750
124 248246.312500 243270.859375
125 243252.593750 238411.718750
126 250684.578125 244592.578125
127 249210.953125 246690.812500
128 243626.203125 245612.140625
129 250415.359375 248244.156250
130 243261.421875 247585.546875
131 245411.515625 251484.000000
132 243660.953125 248312.406250
133 247109.484375 251260.046875
134 245071.953125 249967.875000
135 256031.406250 251942.562500
136 244449.093750 255608.046875
137 246172.515625 254059.953125
138 246088.375000 260139.656250
139 248328.515625 257982.718750
140 243774.687500 258841.687500
141 249216.796875 263029.375000
142 246824.296875 256261.343750
143 248290.296875 256502.796875
144 246556.359375 257086.625000
145 248137.843750 262406.718750
146 245039.593750 261407.562500
147 249985.484375 260550.640625
148 246153.718750 264236.437500
149 247942.437500 264274.406250
150 252091.687500 270265.843750
151 245836.625000 269283.750000
152 244544.625000 266160.468750
153 247212.578125 272194.312500
154 249615.703125 268793.500000
155 248989.437500 268252.968750
156 250617.796875 275144.625000
157 247226.093750 272380.812500
158 245649.593750 272637.656250
159 243504.593750 274611.625000
160 246608.203125 275739.812500
161 244740.046875 272411.406250
162 246161.343750 276505.687500
163 251098.203125 280807.750000
164 249362.234375 277208.625000
165 251218.875000 279289.562500
166 246488.312500 278281.375000
167 249996.796875 284640.156250
168 247602.203125 283257.531250
169 244616.953125 281067.250000
170 247044.578125 279832.250000
171 248693.203125 285294.906250
172 248908.875000 283767.468750
173 251729.859375 287425.125000
174 245216.843750 286408.281250
175 247778.375000 288177.875000
176 250701.843750 294309.750000
177 247417.875000 292240.781250
178 245462.296875 291655.187500
179 245651.000000 296041.812500
180 245028.937500 288859.093750
181 245286.484375 292279.531250
182 247092.437500 292588.093750
183 246470.796875 292684.031250
184 248306.312500 299709.156250
185 249317.062500 298862.187500
186 248193.859375 298609.593750
187 243553.515625 294825.093750
188 244044.656250 296078.187500
189 249908.703125 301787.562500
190 247485.359375 298747.687500
191 250671.812500 299943.250000
192 248262.718750 302094.250000
193 249223.078125 305590.750000
194 252108.312500 306454.281250
195 245581.703125 303072.562500
196 248945.140625 305170.250000
197 250183.765625 309052.875000
198 248284.562500 305266.843750
199 251685.781250 310164.000000
200 245761.406250 306183.718750
201 245656.093750 304209.968750
202 248155.796875 306403.750000
203 242648.843750 308915.406250
204 244470.765625 305801.000000
205 245760.718750 311494.031250
206 248043.984375 314519.000000
207 247886.640625 315349.656250
208 244357.312500 313304.093750
209 248404.375000 312123.718750
210 245751.234375 312929.281250
211 246332.984375 316553.687500
212 245073.687500 317751.968750
213 244643.515625 316500.125000
214 244647.843750 316753.718750
215 247750.187500 322521.625000
216 246542.953125 318911.718750
217 252151.000000 320659.406250
218 250036.843750 320203.343750
219 241789.843750 317498.843750
220 249663.000000 325514.906250
221 247566.843750 322302.156250
222 247169.359375 324631.031250
223 252918.375000 322702.343750
224 248202.281250 326485.656250
225 248365.125000 329362.000000
226 245752.484375 328046.781250
227 249920.718750 327332.375000
228 250383.406250 326684.031250
229 253221.625000 337567.625000
230 241202.515625 323478.531250
231 245308.843750 334474.625000
232 243573.421875 329301.437500
233 240916.359375 330412.031250
234 245358.000000 326808.531250
235 248659.937500 331624.031250
236 250821.156250 338485.250000
237 250183.656250 338151.593750
238 247768.562500 340433.281250
239 244178.140625 332469.250000
240 248121.437500 334565.718750
241 247167.281250 338864.625000
242 248159.078125 332253.750000
243 247460.406250 340596.687500
244 248237.875000 335398.812500
245 249258.406250 336420.562500
246 246547.640625 341548.531250
247 248102.546875 336226.312500
248 245906.000000 336531.750000
249 246508.234375 340176.625000
250 240239.843750 341534.093750
251 247776.312500 345289.437500
252 244362.718750 341025.375000
253 243335.406250 345676.875000
254 251944.218750 350049.156250
255 251717.203125 348230.000000
